,Player,PER 1st,PER 2nd,Win Shares 1st,Win Shares 2nd,Win Shares per 48 min 1st,Win Shares per 48 min 2nd,BPM 1st,BPM 2nd,VORP 1st,VORP 2nd,Win Shares(Col),Win Shares per 40 min(Col),Strength of Schedule(Col),Year Drafted
160,Carmelo Anthony,17.6,16.7,6.1,4.9,0.098,0.09,0.1,-1.2,1.6,0.5,5.8,0.183,9.02,2003
161,Chris Bosh,15.1,17.5,6.2,6.8,0.11900000000000001,0.10800000000000001,-0.3,0.4,1.1,1.8,6.4,0.267,7.94,2003
162,Dwyane Wade,17.6,23.1,4.6,11.0,0.10300000000000001,0.177,1.3,4.4,1.8,4.8,6.5,0.24600000000000002,7.28,2003
163,Chris Kaman,9.6,13.1,0.0,2.1,0.001,0.061,-3.8,-1.5,-0.9,0.2,6.8,0.259,1.79,2003
164,Kirk Hinrich,13.1,15.3,4.1,7.2,0.07200000000000001,0.124,-0.5,3.3,1.0,3.7,6.3,0.204,10.53,2003
165,T.J. Ford,12.1,13.1,0.7,2.5,0.022000000000000002,0.047,-2.6,-0.8,-0.2,0.8,4.3,0.155,9.27,2003
166,Mike Sweetney,17.2,16.4,1.4,3.8,0.138,0.122,-1.0,-2.1,0.1,0.0,9.8,0.355,6.27,2003
168,Nick Collison,15.0,14.0,3.9,2.3,0.135,0.075,0.3,-1.1,0.8,0.3,9.1,0.29600000000000004,10.53,2003
169,Marcus Banks,11.0,12.3,0.7,1.9,0.026000000000000002,0.081,-3.3,-1.5,-0.5,0.2,5.6,0.195,4.67,2003
170,Luke Ridnour,13.1,14.6,1.2,5.4,0.051,0.1,-2.3,0.4,-0.1,1.5,5.0,0.17,6.11,2003
171,Reece Gaines,6.1,3.5,-0.5,-0.1,-0.065,-0.034,-7.7,-7.0,-0.5,-0.2,5.5,0.213,6.84,2003
172,David West,15.9,11.1,2.8,0.2,0.14300000000000002,0.022000000000000002,0.1,-4.6,0.5,-0.4,9.7,0.332,4.61,2003
174,Brian Cook,14.0,14.1,1.1,2.0,0.122,0.08800000000000001,-1.1,-2.3,0.1,-0.1,5.6,0.24,6.76,2003
175,Josh Howard,15.7,15.8,3.5,6.4,0.10400000000000001,0.126,1.2,2.5,1.3,2.8,7.0,0.281,6.96,2003
176,Emeka Okafor,16.3,14.9,4.0,1.0,0.07400000000000001,0.054000000000000006,-1.9,-1.9,0.1,0.0,9.9,0.33899999999999997,7.77,2004
177,Ben Gordon,14.9,14.5,3.5,4.4,0.084,0.086,-0.6,0.2,0.7,1.4,7.0,0.209,7.77,2004
178,Devin Harris,14.7,17.4,2.7,3.7,0.111,0.139,1.1,0.6,0.9,0.8,7.8,0.267,7.49,2004
179,Josh Childress,15.2,15.8,4.6,5.7,0.09300000000000001,0.121,0.0,1.5,1.2,2.0,5.1,0.299,4.34,2004
180,Luol Deng,14.2,15.8,3.0,6.5,0.086,0.12,0.6,0.9,1.1,1.9,5.6,0.195,10.86,2004
181,Rafael Araujo,7.1,4.5,0.3,-0.8,0.016,-0.066,-5.9,-7.5,-0.7,-0.8,6.0,0.268,6.3,2004
