Dan Dickau,9.9,9.0,0.0,0.0,.001,-0.003,-6.3,-5.2,-0.6,-0.2
Carmelo Anthony,17.6,16.7,6.1,4.9,.098,.090,0.1,-1.2,1.6,0.5
Chris Bosh,15.1,17.5,6.2,6.8,.119,.108,-0.3,0.4,1.1,1.8
Dwyane Wade,17.6,23.1,4.6,11.0,.103,.177,1.3,4.4,1.8,4.8
Chris Kaman,9.6,13.1,0.0,2.1,.001,.061,-3.8,-1.5,-0.9,0.2
Kirk Hinrich,13.1,15.3,4.1,7.2,.072,.124,-0.5,3.3,1.0,3.7
T.J. Ford,12.1,13.1,0.7,2.5,.022,.047,-2.6,-0.8,-0.2,0.8
Mike Sweetney,17.2,16.4,1.4,3.8,.138,.122,-1.0,-2.1,0.1,0.0
Jarvis Hayes,9.4,11.1,0.5,1.7,.012,.051,-3.7,-3.3,-0.9,-0.5
Nick Collison,15.0,14.0,3.9,2.3,.135,.075,0.3,-1.1,0.8,0.3
Marcus Banks,11.0,12.3,0.7,1.9,.026,.081,-3.3,-1.5,-0.5,0.2
Luke Ridnour,13.1,14.6,1.2,5.4,.051,.100,-2.3,0.4,-0.1,1.5
Reece Gaines,6.1,3.5,-0.5,-0.1,-0.065,-0.034,-7.7,-7.0,-0.5,-0.2
David West,15.9,11.1,2.8,0.2,.143,.022,0.1,-4.6,0.5,-0.4
Dahntay Jones,2.5,9.6,-0.4,0.9,-0.114,.066,-7.8,-3.8,-0.2,-0.3
Brian Cook,14.0,14.1,1.1,2.0,.122,.088,-1.1,-2.3,0.1,-0.1
Josh Howard,15.7,15.8,3.5,6.4,.104,.126,1.2,2.5,1.3,2.8
Emeka Okafor,16.3,14.9,4.0,1.0,.074,.054,-1.9,-1.9,0.1,0.0
Ben Gordon,14.9,14.5,3.5,4.4,.084,.086,-0.6,0.2,0.7,1.4
Devin Harris,14.7,17.4,2.7,3.7,.111,.139,1.1,0.6,0.9,0.8
Josh Childress,15.2,15.8,4.6,5.7,.093,.121,0.0,1.5,1.2,2.0
Luol Deng,14.2,15.8,3.0,6.5,.086,.120,0.6,0.9,1.1,1.9
Rafael Araujo,7.1,4.5,0.3,-0.8,.016,-0.066,-5.9,-7.5,-0.7,-0.8
Andre Iguodala,13.5,14.8,6.6,7.5,.118,.116,2.3,2.1,2.9,3.2
Luke Jackson,16.3,7.9,0.1,0.0,.085,-0.003,-6.7,-4.2,-0.1,-0.2
Kris Humphries,9.5,10.3,-0.3,0.2,-0.019,.019,-5.0,-4.8,-0.7,-0.4
Kirk Snyder,8.6,14.6,-0.2,2.2,-0.012,.082,-5.0,-0.5,-0.7,0.5
Jameer Nelson,14.5,19.5,2.5,4.9,.074,.132,-0.5,2.2,0.6,1.9
Delonte West,12.3,15.1,0.9,5.7,.090,.114,-0.6,1.9,0.2,2.4
Tony Allen,14.7,12.9,2.7,1.7,.103,.082,-0.1,-1.4,0.6,0.2
Kevin Martin,8.7,14.8,0.1,5.5,.016,.137,-5.0,0.1,-0.3,1.0
David Harrison,12.9,11.8,1.4,1.5,.090,.068,-1.3,-4.2,0.1,-0.6
Andrew Bogut,15.2,15.5,5.5,4.0,.113,.085,1.8,0.5,2.3,1.4
Marvin Williams,12.2,12.2,2.8,2.3,.069,.051,-3.7,-2.7,-0.8,-0.4
