,Player,sos,year,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,ws_per_40,g,fg_per_min,fga_per_min,fg_pct,fg2_per_min,fg2a_per_min,fg2_pct,fg3_per_min,fg3a_per_min,fg3_pct,ft_per_min,fta_per_min,ft_pct,trb_per_min,ast_per_min,stl_per_min,blk_per_min,tov_per_min,pf_per_min,pts_per_min
350,Marcus Morris,7.62,2011,1076.0,0.625,0.601,0.18100000000000002,0.511,0.26899999999999996,38,8.9,15.7,0.57,8.0,12.8,0.62,1.0,2.8,0.342,5.5,8.0,0.688,10.8,2.3,1.2,0.9,2.5,3.6,24.3
351,Kawhi Leonard,6.36,2011,1172.0,0.512,0.47100000000000003,0.18100000000000002,0.305,0.231,36,7.2,16.2,0.444,6.3,13.3,0.478,0.9,2.9,0.29100000000000004,3.8,4.9,0.759,13.0,3.1,1.7,0.7,2.6,3.0,19.0
352,Nikola Vucevic,7.96,2011,1187.0,0.578,0.539,0.195,0.38299999999999995,0.221,34,7.2,14.4,0.505,6.3,11.6,0.542,1.0,2.8,0.349,4.1,5.5,0.755,11.8,1.8,0.6,1.6,2.0,3.2,19.6
353,Iman Shumpert,5.68,2011,992.0,0.517,0.45399999999999996,0.34600000000000003,0.401,0.196,31,7.1,17.6,0.406,5.4,11.5,0.474,1.7,6.1,0.278,5.7,7.1,0.8059999999999999,7.4,4.4,3.4,0.2,2.9,3.5,21.7
354,Chris Singleton,6.45,2011,814.0,0.531,0.495,0.332,0.441,0.191,28,6.1,14.1,0.434,4.4,9.4,0.466,1.7,4.7,0.368,4.1,6.2,0.667,9.4,1.6,2.7,2.0,3.0,4.4,18.0
355,Tobias Harris,8.73,2011,993.0,0.54,0.489,0.18899999999999997,0.423,0.177,34,7.5,16.2,0.46,6.5,13.1,0.49700000000000005,0.9,3.1,0.303,5.2,6.8,0.753,9.9,1.8,1.0,1.2,2.5,2.8,21.0
356,Nolan Smith,8.31,2011,1259.0,0.564,0.508,0.287,0.405,0.23399999999999999,37,8.3,18.0,0.45799999999999996,6.4,12.9,0.501,1.8,5.2,0.35,5.9,7.3,0.813,5.3,6.0,1.4,0.1,3.7,2.3,24.3
358,Reggie Jackson,7.31,2011,1161.0,0.618,0.585,0.389,0.315,0.193,34,7.5,15.0,0.503,5.1,9.2,0.556,2.4,5.8,0.42,3.8,4.7,0.7959999999999999,5.0,5.2,1.2,0.6,2.8,2.0,21.3
359,MarShon Brooks,6.44,2011,1168.0,0.584,0.542,0.345,0.384,0.203,32,9.5,19.6,0.483,7.2,12.8,0.5589999999999999,2.3,6.7,0.34,5.8,7.5,0.772,7.7,2.7,1.6,1.3,3.4,2.7,27.0
360,Jordan Hamilton,7.96,2011,1159.0,0.55,0.522,0.424,0.221,0.231,36,8.4,19.1,0.44,5.3,11.0,0.48100000000000004,3.1,8.1,0.385,3.3,4.2,0.779,9.5,2.6,1.1,0.8,2.7,2.2,23.2
