Wayne Ellington,5.5,.189,8.35,2009
Toney Douglas,6.3,.196,,2009
John Wall,6.3,.196,6.82,2010
Evan Turner,6.8,.247,7.37,2010
Derrick Favors,4.8,.195,9.02,2010
Wesley Johnson,6.6,.215,,2010
DeMarcus Cousins,6.5,.290,6.82,2010
Ekpe Udoh,6.1,.192,,2010
Greg Monroe,5.5,.189,9.55,2010
Al-Farouq Aminu,4.3,.176,8.85,2010
Gordon Hayward,6.9,.224,5.08,2010
Paul George,4.2,.173,1.31,2010
Cole Aldrich,5.9,.245,8.25,2010
Xavier Henry,4.9,.197,8.25,2010
Ed Davis,3.1,.194,9.83,2010
Patrick Patterson,7.0,.223,6.82,2010
Larry Sanders,5.4,.228,0.64,2010
Luke Babbitt,6.7,.213,2.56,2010
Eric Bledsoe,3.5,.126,6.82,2010
Avery Bradley,3.2,.127,7.38,2010
James Anderson,6.9,.247,6.97,2010
Craig Brackins,4.0,.143,8.37,2010
Elliot Williams,5.6,.197,,2010
Trevor Booker,5.5,.223,7.90,2010
Damion James,6.5,.252,7.38,2010
Dominique Jones,6.2,.204,7.21,2010
Quincy Pondexter,7.3,.250,7.49,2010
Jordan Crawford,5.9,.207,,2010
Greivis Vasquez,5.8,.208,7.95,2010
Daniel Orton,1.7,.135,6.82,2010
Lazar Hayward,5.4,.198,8.23,2010
Kyrie Irving,2.4,.320,8.31,2011
Derrick Williams,7.9,.279,7.99,2011
Tristan Thompson,5.5,.200,7.96,2011
Brandon Knight,5.3,.157,8.91,2011
Kemba Walker,9.7,.251,10.44,2011
Jimmer Fredette,8.5,.256,5.76,2011
Klay Thompson,5.8,.198,6.81,2011
Alec Burks,6.6,.221,5.61,2011
Markieff Morris,6.0,.257,7.62,2011
Marcus Morris,7.2,.269,7.62,2011
Kawhi Leonard,6.8,.231,6.36,2011
Nikola Vucevic,6.6,.221,7.96,2011
Iman Shumpert,4.9,.196,5.68,2011
Chris Singleton,3.9,.191,6.45,2011
Tobias Harris,4.4,.177,8.73,2011
Nolan Smith,7.4,.234,8.31,2011
Kenneth Faried,8.3,.272,-3.13,2011
Reggie Jackson,5.6,.193,7.31,2011
MarShon Brooks,5.9,.203,6.44,2011
Jordan Hamilton,6.7,.231,7.96,2011
Norris Cole,8.3,.258,1.74,2011
Cory Joseph,4.4,.152,7.96,2011
Jimmy Butler,6.3,.198,8.51,2011
Anthony Davis,9.9,.310,7.93,2012
Michael Kidd-Gilchrist,6.0,.192,7.93,2012
Bradley Beal,5.7,.180,7.33,2012
Dion Waiters,5.0,.223,8.02,2012
Thomas Robinson,7.2,.231,9.93,2012
Damian Lillard,8.0,.291,-3.65,2012
Harrison Barnes,5.0,.181,7.07,2012
Terrence Ross,4.9,.178,5.27,2012
Andre Drummond,2.9,.121,8.07,2012
Austin Rivers,3.5,.124,8.40,2012
Meyers Leonard,4.6,.182,7.99,2012
Jeremy Lamb,5.2,.165,8.07,2012
Kendall Marshall,4.4,.147,7.07,2012
John Henson,5.0,.195,7.07,2012
Maurice Harkless,3.2,.109,6.98,2012
Tyler Zeller,7.1,.265,7.07,2012
Terrence Jones,5.8,.209,7.93,2012
Andrew Nicholson,5.8,.240,2.84,2012
